date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:45:50	56259/56259	---M-Z	200	added ('OK')	text/html	etag:%22b8e2466-dbc3-5d2a872af8f00-gzip%22	https://codervent.com/syndash/demo/vertical/index2.html	C:/My%20Web%20Sites/envato_admin_dashboard/codervent.com/syndash/demo/vertical/index2.html	(from )
10:45:51	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Apr%202022%2016:45:50%20GMT	https://codervent.com/robots.txt		(from )
10:45:51	2238/2238	---M--	200	added ('OK')	image/png	etag:%22b8e2301-8be-5b5303e6de380%22	https://codervent.com/syndash/demo/vertical/assets/images/favicon-32x32.png	C:/My%20Web%20Sites/envato_admin_dashboard/codervent.com/syndash/demo/vertical/assets/images/favicon-32x32.png	(from https://codervent.com/syndash/demo/vertical/index2.html)
10:45:51	6727/6727	---M-Z	200	added ('OK')	text/css	etag:%22b8e2427-1a47-5b43eb67a6580-gzip%22	https://codervent.com/syndash/demo/vertical/assets/plugins/vectormap/jquery-jvectormap-2.0.2.css	C:/My%20Web%20Sites/envato_admin_dashboard/codervent.com/syndash/demo/vertical/assets/plugins/vectormap/jquery-jvectormap-2.0.2.css	(from https://codervent.com/syndash/demo/vertical/index2.html)
10:46:01	4125/4125	---M-Z	200	added ('OK')	text/css	etag:%22b8e241e-101d-5b43eb61ed800-gzip%22	https://codervent.com/syndash/demo/vertical/assets/plugins/simplebar/css/simplebar.css	C:/My%20Web%20Sites/envato_admin_dashboard/codervent.com/syndash/demo/vertical/assets/plugins/simplebar/css/simplebar.css	(from https://codervent.com/syndash/demo/vertical/index2.html)
10:46:06	2714/2714	---M-Z	200	added ('OK')	text/css	etag:%22b8e2413-a9a-5b43eb6005380-gzip%22	https://codervent.com/syndash/demo/vertical/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	C:/My%20Web%20Sites/envato_admin_dashboard/codervent.com/syndash/demo/vertical/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	(from https://codervent.com/syndash/demo/vertical/index2.html)
10:46:06	1929/1929	---M-Z	200	added ('OK')	text/css	etag:%22b8e23f2-789-5b43eb3f98700-gzip%22	https://codervent.com/syndash/demo/vertical/assets/plugins/metismenu/css/metisMenu.min.css	C:/My%20Web%20Sites/envato_admin_dashboard/codervent.com/syndash/demo/vertical/assets/plugins/metismenu/css/metisMenu.min.css	(from https://codervent.com/syndash/demo/vertical/index2.html)
10:46:06	2178/2178	---M-Z	200	added ('OK')	text/css	etag:%22b8e207d-882-5b4fa8878e000-gzip%22	https://codervent.com/syndash/demo/vertical/assets/css/pace.min.css	C:/My%20Web%20Sites/envato_admin_dashboard/codervent.com/syndash/demo/vertical/assets/css/pace.min.css	(from https://codervent.com/syndash/demo/vertical/index2.html)
10:46:07	12364/12364	---M-Z	200	added ('OK')	application/javascript	etag:%22b8e2389-304c-5b43ea4f45000-gzip%22	https://codervent.com/syndash/demo/vertical/assets/js/pace.min.js	C:/My%20Web%20Sites/envato_admin_dashboard/codervent.com/syndash/demo/vertical/assets/js/pace.min.js	(from https://codervent.com/syndash/demo/vertical/index2.html)
10:46:08	189392/189392	---M-Z	200	added ('OK')	text/css	etag:%22b8e2079-2e3d0-5d2a88ac41c00-gzip%22	https://codervent.com/syndash/demo/vertical/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/envato_admin_dashboard/codervent.com/syndash/demo/vertical/assets/css/bootstrap.min.css	(from https://codervent.com/syndash/demo/vertical/index2.html)
10:46:10	160651/160651	---M-Z	200	added ('OK')	text/css	etag:%22b8e207c-2738b-5b52fbb2e0900-gzip%22	https://codervent.com/syndash/demo/vertical/assets/css/icons.css	C:/My%20Web%20Sites/envato_admin_dashboard/codervent.com/syndash/demo/vertical/assets/css/icons.css	(from https://codervent.com/syndash/demo/vertical/index2.html)
10:46:10	59341/59341	---M-Z	200	added ('OK')	text/css	etag:%22b8e2078-e7cd-5d2a82c3bab80-gzip%22	https://codervent.com/syndash/demo/vertical/assets/css/app.css	C:/My%20Web%20Sites/envato_admin_dashboard/codervent.com/syndash/demo/vertical/assets/css/app.css	(from https://codervent.com/syndash/demo/vertical/index2.html)
10:46:14	1833/1833	---M-Z	200	added ('OK')	text/css	etag:%22b8e207a-729-5d2a7e02d7480-gzip%22	https://codervent.com/syndash/demo/vertical/assets/css/dark-sidebar.css	C:/My%20Web%20Sites/envato_admin_dashboard/codervent.com/syndash/demo/vertical/assets/css/dark-sidebar.css	(from https://codervent.com/syndash/demo/vertical/index2.html)
10:46:18	15511/15511	---M-Z	200	added ('OK')	text/css	etag:%22b8e207b-3c97-5d2a833be4700-gzip%22	https://codervent.com/syndash/demo/vertical/assets/css/dark-theme.css	C:/My%20Web%20Sites/envato_admin_dashboard/codervent.com/syndash/demo/vertical/assets/css/dark-theme.css	(from https://codervent.com/syndash/demo/vertical/index2.html)
10:46:21	11006/11006	---M--	200	added ('OK')	image/png	etag:%22b8e237b-2afe-5b5303150f480%22	https://codervent.com/syndash/demo/vertical/assets/images/logo-icon.png	C:/My%20Web%20Sites/envato_admin_dashboard/codervent.com/syndash/demo/vertical/assets/images/logo-icon.png	(from https://codervent.com/syndash/demo/vertical/index2.html)
10:46:23	53584/53584	---M-Z	200	added ('OK')	text/html	etag:%22b8e2465-d150-5d2a80bed6800-gzip%22	https://codervent.com/syndash/demo/vertical/index.html	C:/My%20Web%20Sites/envato_admin_dashboard/codervent.com/syndash/demo/vertical/index.html	(from https://codervent.com/syndash/demo/vertical/index2.html)
10:46:24	57407/57407	---M-Z	200	added ('OK')	text/html	etag:%22b8e2451-e03f-5d2a86981b480-gzip%22	https://codervent.com/syndash/demo/vertical/emailbox.html	C:/My%20Web%20Sites/envato_admin_dashboard/codervent.com/syndash/demo/vertical/emailbox.html	(from https://codervent.com/syndash/demo/vertical/index2.html)
10:46:26	49007/49007	---M-Z	200	added ('OK')	text/html	etag:%22b8e2437-bf6f-5d2a85b8f2600-gzip%22	https://codervent.com/syndash/demo/vertical/chat-box.html	C:/My%20Web%20Sites/envato_admin_dashboard/codervent.com/syndash/demo/vertical/chat-box.html	(from https://codervent.com/syndash/demo/vertical/index2.html)
10:46:28	48908/48908	---M-Z	200	added ('OK')	text/html	etag:%22b8e2457-bf0c-5d2a86b888100-gzip%22	https://codervent.com/syndash/demo/vertical/file-manager.html	C:/My%20Web%20Sites/envato_admin_dashboard/codervent.com/syndash/demo/vertical/file-manager.html	(from https://codervent.com/syndash/demo/vertical/index2.html)
10:46:28	46110/46110	---M-Z	200	added ('OK')	text/html	etag:%22b8e244d-b41e-5d2a8677ae800-gzip%22	https://codervent.com/syndash/demo/vertical/contact-list.html	C:/My%20Web%20Sites/envato_admin_dashboard/codervent.com/syndash/demo/vertical/contact-list.html	(from https://codervent.com/syndash/demo/vertical/index2.html)
10:46:29	37017/37017	---M-Z	200	added ('OK')	text/html	etag:%22b8e2470-9099-5d2a877ee5500-gzip%22	https://codervent.com/syndash/demo/vertical/to-do.html	C:/My%20Web%20Sites/envato_admin_dashboard/codervent.com/syndash/demo/vertical/to-do.html	(from https://codervent.com/syndash/demo/vertical/index2.html)
10:46:31	38339/38339	---M-Z	200	added ('OK')	text/html	etag:%22b8e2467-95c3-5d2a87329a100-gzip%22	https://codervent.com/syndash/demo/vertical/invoice.html	C:/My%20Web%20Sites/envato_admin_dashboard/codervent.com/syndash/demo/vertical/invoice.html	(from https://codervent.com/syndash/demo/vertical/index2.html)
10:46:32	35545/35545	---M-Z	200	added ('OK')	text/html	etag:%22b8e2461-8ad9-5d2a8704d3500-gzip%22	https://codervent.com/syndash/demo/vertical/fullcalender.html	C:/My%20Web%20Sites/envato_admin_dashboard/codervent.com/syndash/demo/vertical/fullcalender.html	(from https://codervent.com/syndash/demo/vertical/index2.html)
10:46:33	49499/49499	---M-Z	200	added ('OK')	text/html	etag:%22b8e2472-c15b-5d2a87e7ccc80-gzip%22	https://codervent.com/syndash/demo/vertical/widgets.html	C:/My%20Web%20Sites/envato_admin_dashboard/codervent.com/syndash/demo/vertical/widgets.html	(from https://codervent.com/syndash/demo/vertical/index2.html)
10:46:33	42780/42780	---M-Z	200	added ('OK')	text/html	etag:%22b8e2439-a71c-5d2a85c834a00-gzip%22	https://codervent.com/syndash/demo/vertical/component-alerts.html	C:/My%20Web%20Sites/envato_admin_dashboard/codervent.com/syndash/demo/vertical/component-alerts.html	(from https://codervent.com/syndash/demo/vertical/index2.html)
10:46:34	37199/37199	---M-Z	200	added ('OK')	text/html	etag:%22b8e243a-914f-5d2a85cfd5c00-gzip%22	https://codervent.com/syndash/demo/vertical/component-bedges.html	C:/My%20Web%20Sites/envato_admin_dashboard/codervent.com/syndash/demo/vertical/component-bedges.html	(from https://codervent.com/syndash/demo/vertical/index2.html)
